person_id,name,entity_type,related_film_count,has_wikipedia_text,intro_chars,wikitext_chars,source_url
Q495980,奉俊昊,导演,2,True,573,25177,https://zh.wikipedia.org/wiki/%E5%A5%89%E4%BF%8A%E6%98%8A
Q1379066,奥兹·柏金斯,导演,1,True,108,6102,https://zh.wikipedia.org/wiki/%E5%A5%A7%E8%8C%B2%C2%B7%E6%9F%8F%E9%87%91%E6%96%AF
Q60229799,奥山大史,导演,1,True,97,7312,https://zh.wikipedia.org/wiki/%E5%A5%A5%E5%B1%B1%E5%A4%A7%E5%8F%B2
Q2870837,奥黛丽·迪万,导演,1,True,94,3666,https://zh.wikipedia.org/wiki/%E5%A5%A5%E9%BB%9B%E4%B8%BD%C2%B7%E8%BF%AA%E4%B8%87
Q716069,姜文,导演,2,True,137,10743,https://zh.wikipedia.org/wiki/%E5%A7%9C%E6%96%87
Q30944503,姜瑞智,导演,1,True,157,2918,https://zh.wikipedia.org/wiki/%E5%A7%9C%E7%91%9E%E6%99%BA
Q423313,娄烨,导演,1,True,35,8335,https://zh.wikipedia.org/wiki/%E5%A8%84%E7%83%A8
Q117862408,孙海鹏,导演,1,True,55,2350,https://zh.wikipedia.org/wiki/%E5%AD%99%E6%B5%B7%E9%B9%8F
Q354554,宁浩,导演,3,True,87,11879,https://zh.wikipedia.org/wiki/%E5%AE%81%E6%B5%A9
Q72021,安卓·爵森,导演,1,True,94,1285,https://zh.wikipedia.org/wiki/%E5%AE%89%E5%8D%93%C2%B7%E7%88%B5%E6%A3%AE
NAME:安娜·哈贝格（）,安娜·哈贝格（）,导演,1,False,0,0,
WP:安小满,安小满,导演,1,False,0,0,
Q110405089,宋灏霖,导演,1,True,164,4521,https://zh.wikipedia.org/wiki/%E5%AE%8B%E7%81%8F%E9%9C%96
Q64516220,宫原直树,导演,1,True,96,6315,https://zh.wikipedia.org/wiki/%E5%AE%AE%E5%8E%9F%E7%9B%B4%E6%A8%B9
Q55400,宫崎骏,导演,5,True,255,40517,https://zh.wikipedia.org/wiki/%E5%AE%AB%E5%B4%8E%E9%AA%8F
NAME:小阿图罗·佩雷斯（）,小阿图罗·佩雷斯（）,导演,1,False,0,0,
WP:尔东,尔东,导演,1,False,0,0,
Q975410,尤格·蓝西莫,导演,1,True,225,8630,https://zh.wikipedia.org/wiki/%E5%B0%A4%E6%A0%BC%C2%B7%E8%97%8D%E8%A5%BF%E8%8E%AB
WP:尹又巧,尹又巧,导演,1,False,0,0,
Q336206,尼克·帕克,导演,1,True,150,6146,https://zh.wikipedia.org/wiki/%E5%B0%BC%E5%85%8B%C2%B7%E5%B8%95%E5%85%8B
Q126689055,尼瑟兰·史瓦米纳森,导演,1,True,141,4058,https://zh.wikipedia.org/wiki/%E5%B0%BC%E7%91%9F%E8%98%AD%C2%B7%E5%8F%B2%E7%93%A6%E7%B1%B3%E7%B4%8D%E6%A3%AE
Q26821227,巴里·杰金斯,导演,1,True,217,4242,https://zh.wikipedia.org/wiki/%E5%B7%B4%E9%87%8C%C2%B7%E6%9D%B0%E9%87%91%E6%96%AF
Q1114465,布拉德·佩顿,导演,1,True,104,2881,https://zh.wikipedia.org/wiki/%E5%B8%83%E6%8B%89%E5%BE%B7%C2%B7%E4%BD%A9%E9%A1%BF
Q897115,布拉迪·科贝特,导演,1,True,364,7991,https://zh.wikipedia.org/wiki/%E5%B8%83%E6%8B%89%E8%BF%AA%C2%B7%E7%A7%91%E8%B2%9D%E7%89%B9
NAME:布莱恩·伍兹}},布莱恩·伍兹}},导演,1,False,0,0,
Q913128,布莱恩·泰勒 (导演),导演,1,True,74,2452,https://zh.wikipedia.org/wiki/%E5%B8%83%E8%90%8A%E6%81%A9%C2%B7%E6%B3%B0%E5%8B%92_(%E5%B0%8E%E6%BC%94)
NAME:布莱斯·麦奎尔（）,布莱斯·麦奎尔（）,导演,1,False,0,0,
Q18720201,帕·兰基斯,导演,1,True,158,7625,https://zh.wikipedia.org/wiki/%E5%B8%95%C2%B7%E8%98%AD%E5%9F%BA%E6%96%AF
Q107803283,帕亚尔·卡帕迪亚,导演,1,True,177,6334,https://zh.wikipedia.org/wiki/%E5%B8%95%E4%BA%9E%E7%88%BE%C2%B7%E5%8D%A1%E5%B8%95%E8%BF%AA%E4%BA%9E
Q1985090,帕布罗·拉拉因,导演,1,True,64,3940,https://zh.wikipedia.org/wiki/%E5%B8%95%E5%B8%83%E7%BD%97%C2%B7%E6%8B%89%E6%8B%89%E5%9B%A0
NAME:帕特·波尼蒂帕特（พัฒน์ บุญนิธิพัฒน์）,帕特·波尼蒂帕特（พัฒน์ บุญนิธิพัฒน์）,导演,1,False,0,0,
NAME:帕特莉夏·丰特（Patricia Font）,帕特莉夏·丰特（Patricia Font）,导演,1,False,0,0,
Q56094,弗朗西斯·福特·科波拉,导演,4,True,970,7693,https://zh.wikipedia.org/wiki/%E5%BC%97%E6%9C%97%E8%A5%BF%E6%96%AF%C2%B7%E7%A6%8F%E7%89%B9%C2%B7%E7%A7%91%E6%B3%A2%E6%8B%89
Q701930,张家辉,导演,1,True,113,30576,https://zh.wikipedia.org/wiki/%E5%BC%B5%E5%AE%B6%E8%BC%9D
Q45696134,张栾,导演,1,True,44,1354,https://zh.wikipedia.org/wiki/%E5%BC%B5%E6%AC%92
Q55430,张艺谋,导演,2,True,322,46597,https://zh.wikipedia.org/wiki/%E5%BC%A0%E8%89%BA%E8%B0%8B
WP:彭大魔,彭大魔,导演,1,False,0,0,
Q3089490,彭氏兄弟,导演,2,True,325,7382,https://zh.wikipedia.org/wiki/%E5%BD%AD%E6%B0%8F%E5%85%84%E5%BC%9F
Q339551,彼得·西格尔,导演,1,True,61,1537,https://zh.wikipedia.org/wiki/%E5%BD%BC%E5%BE%97%C2%B7%E8%A5%BF%E6%A0%BC%E5%B0%94
Q893129,徐峥,导演,1,True,192,13699,https://zh.wikipedia.org/wiki/%E5%BE%90%E5%B3%A5
Q55695803,徐汉强,导演,1,True,230,5543,https://zh.wikipedia.org/wiki/%E5%BE%90%E6%BC%A2%E5%BC%B7
Q112965880,徐磊 (导演),导演,1,True,41,1160,https://zh.wikipedia.org/wiki/%E5%BE%90%E7%A3%8A_(%E5%AF%BC%E6%BC%94)
Q684474,悉达·阿南德,导演,1,True,172,9351,https://zh.wikipedia.org/wiki/%E6%82%89%E9%81%94%C2%B7%E9%98%BF%E5%8D%97%E5%BE%B7
Q42369,戛纳电影节,导演,1,True,258,9004,https://zh.wikipedia.org/wiki/%E6%88%9B%E7%BA%B3%E7%94%B5%E5%BD%B1%E8%8A%82
Q245075,戴夫·帕特尔,导演,1,True,95,5237,https://zh.wikipedia.org/wiki/%E6%88%B4%E5%A4%AB%C2%B7%E5%B8%95%E7%89%B9%E5%B0%94
NAME:托马斯·高（）,托马斯·高（）,导演,1,False,0,0,
NAME:拉谢尔·瑟尔（Rachel Szor）,拉谢尔·瑟尔（Rachel Szor）,导演,1,False,0,0,
Q3527989,提·威斯特,导演,1,True,186,15629,https://zh.wikipedia.org/wiki/%E6%8F%90%C2%B7%E5%A8%81%E6%96%AF%E7%89%B9
Q8877,斯蒂芬·斯皮尔伯格,导演,12,True,527,19778,https://zh.wikipedia.org/wiki/%E6%96%AF%E8%92%82%E8%8A%AC%C2%B7%E6%96%AF%E7%9A%AE%E5%B0%94%E4%BC%AF%E6%A0%BC
Q3772,昆汀·塔伦蒂诺,导演,12,True,1050,15181,https://zh.wikipedia.org/wiki/%E6%98%86%E6%B1%80%C2%B7%E5%A1%94%E4%BC%A6%E8%92%82%E8%AF%BA
Q453691,昆汀·杜皮尔,导演,1,True,203,8664,https://zh.wikipedia.org/wiki/%E6%98%86%E6%B1%80%C2%B7%E6%9D%9C%E7%9A%AE%E7%88%BE
Q5034286,曹保平,导演,1,True,41,3191,https://zh.wikipedia.org/wiki/%E6%9B%B9%E4%BF%9D%E5%B9%B3
WP:曾威量,曾威量,导演,1,False,0,0,
Q103646,朗·侯活,导演,2,True,119,7885,https://zh.wikipedia.org/wiki/%E6%9C%97%C2%B7%E4%BE%AF%E6%B4%BB
NAME:朴范秀,朴范秀,导演,1,False,0,0,
Q130698752,朴荣珠,导演,1,True,39,4533,https://zh.wikipedia.org/wiki/%E6%9C%B4%E6%A6%AE%E7%8F%A0
Q315484,朴赞郁,导演,2,True,56,11321,https://zh.wikipedia.org/wiki/%E6%9C%B4%E8%B4%8A%E9%83%81
Q3228905,李力持,导演,1,True,57,22213,https://zh.wikipedia.org/wiki/%E6%9D%8E%E5%8A%9B%E6%8C%81
Q160726,李安,导演,3,True,206,32893,https://zh.wikipedia.org/wiki/%E6%9D%8E%E5%AE%89
Q131752528,李志伟 (导演),导演,1,True,37,4374,https://zh.wikipedia.org/wiki/%E6%9D%8E%E5%BF%97%E5%81%89_(%E5%B0%8E%E6%BC%94)
NAME:李明勋,李明勋,导演,1,False,0,0,
NAME:李耀燮,李耀燮,导演,1,False,0,0,
NAME:李芝胜,李芝胜,导演,1,False,0,0,
NAME:李英国,李英国,导演,1,False,0,0,
WP:李达超,李达超,导演,1,False,0,0,
NAME:李阳,李阳,导演,1,False,0,0,
WP:李麒麟,李麒麟,导演,1,False,0,0,
