film_id,title,directors,actor_count,screenwriters,production_companies,genres,award_count,nomination_count,role_count,intro_chars,wikitext_chars,source_url
IMDB:tt0073195,大白鲨,斯蒂芬·斯皮尔伯格,8,彼得·本奇利|卡尔·哥特列布,,冒险|剧情|恐怖,0,0,0,142,0,https://www.imdb.com/title/tt0073195/
IMDB:tt0451279,神奇女侠,派蒂·珍金斯,10,艾伦·海恩伯格|查克·史奈德|杰森·福克斯|威廉·莫尔顿·马斯顿,,动作|冒险|奇幻,0,0,0,154,0,https://www.imdb.com/title/tt0451279/
IMDB:tt0107048,土拨鼠之日,哈罗德·雷米斯,10,丹尼·罗宾|哈罗德·雷米斯,,喜剧|剧情|奇幻,0,0,0,163,0,https://www.imdb.com/title/tt0107048/
IMDB:tt0369610,侏罗纪世界,科林·崔佛洛,10,里克·贾法|阿曼达·西尔弗|科林·崔佛洛|德里克·康纳利|迈克尔·克莱顿,,动作|冒险|科幻,0,0,0,156,0,https://www.imdb.com/title/tt0369610/
IMDB:tt1504320,国王的演讲,汤姆·霍伯,6,大卫.塞德勒,,传记|剧情|历史,0,0,0,132,0,https://www.imdb.com/title/tt1504320/
IMDB:tt1798709,她,斯派克·琼斯,6,斯派克·琼斯,,剧情|爱情|科幻,0,0,0,123,0,https://www.imdb.com/title/tt1798709/
IMDB:tt0364569,老男孩,朴赞郁,10,狩抚麻礼|岭岸信明|朴赞郁|黄祖允,,动作|剧情|悬疑,0,0,0,118,0,https://www.imdb.com/title/tt0364569/
IMDB:tt3460252,八恶人,昆廷·塔伦蒂诺,10,昆廷·塔伦蒂诺,,犯罪|剧情|悬疑,0,0,0,160,0,https://www.imdb.com/title/tt3460252/
IMDB:tt2527336,星球大战8：最后的绝地武士,莱恩·约翰逊,10,莱恩·约翰逊|乔治·卢卡斯,,动作|冒险|奇幻,0,0,0,166,0,https://www.imdb.com/title/tt2527336/
IMDB:tt0418279,变形金刚,迈克尔·贝,10,罗伯托·奥奇|亚里克斯·库兹曼|约翰·罗杰斯,,动作|冒险|科幻,0,0,0,152,0,https://www.imdb.com/title/tt0418279/
IMDB:tt2380307,寻梦环游记,李·安克里奇|阿德里安·莫利纳,10,李·安克里奇|阿德里安·莫利纳,,冒险|动画|剧情,0,0,0,176,0,https://www.imdb.com/title/tt2380307/
IMDB:tt2294629,冰雪奇缘,克里斯·巴克|珍妮佛·李,9,珍妮佛·李|安徒生|克里斯·巴克,,冒险|动画|喜剧,0,0,0,155,0,https://www.imdb.com/title/tt2294629/
IMDB:tt0413300,蜘蛛人3,萨姆·莱米,10,萨姆·莱米|伊凡·雷米|阿尔文·萨金特|斯坦·李|史蒂夫·迪特科,,动作|冒险|科幻,0,0,0,168,0,https://www.imdb.com/title/tt0413300/
IMDB:tt0469494,血色将至,保罗·托马斯·安德森,3,保罗·托马斯·安德森|厄普顿·辛克莱,,剧情,0,0,0,102,0,https://www.imdb.com/title/tt0469494/
IMDB:tt1637725,泰迪熊,塞思·麦克法兰,10,塞思·麦克法兰|亚历克·苏尔金|韦尔斯利·怀特,,喜剧,0,0,0,161,0,https://www.imdb.com/title/tt1637725/
IMDB:tt0988045,福尔摩斯,佳·烈治,10,安东尼·佩卡姆|西蒙·金伯格|莱诺·威格拉姆|阿瑟·柯南·道尔,,动作|冒险|悬疑,0,0,0,151,0,https://www.imdb.com/title/tt0988045/
